id,tide,year
14,-66.0,2010
14,-53.0,2011
14,-68.0,2012
14,-97.0,2013
14,-108.0,2014
14,-67.0,2015
20,0.0,1985
20,-11.0,1986
20,-15.0,1987
20,-12.0,1988
20,-9.0,1989
20,-3.0,1990
20,-9.0,1991
20,-7.0,1992
20,-16.0,1993
20,-13.0,1994
20,-11.0,1995
20,-11.0,1996
20,-12.0,1997
20,0.0,1998
20,5.0,1999
20,6.0,2000
20,28.0,2001
20,40.0,2002
20,36.0,2003
20,40.0,2004
20,47.0,2005
20,45.0,2006
20,56.0,2007
20,63.0,2008
20,60.0,2009
20,56.0,2010
20,57.0,2011
20,48.0,2012
20,41.0,2013
20,46.0,2014
20,50.0,2015
22,0.0,1985
22,-9.0,1986
22,-14.0,1987
22,-10.0,1988
22,-4.0,1989
22,7.0,1990
22,-1.0,1991
22,-2.0,1992
22,-13.0,1993
22,-12.0,1994
22,-11.0,1995
22,-13.0,1996
22,-13.0,1997
22,-1.0,1998
22,5.0,1999
22,7.0,2000
22,31.0,2001
22,44.0,2002
22,38.0,2003
22,37.0,2004
22,36.0,2005
22,30.0,2006
22,36.0,2007
22,42.0,2008
22,39.0,2009
22,40.0,2010
22,43.0,2011
22,36.0,2012
22,31.0,2013
22,37.0,2014
22,43.0,2015
23,0.0,1985
23,-7.0,1986
23,-12.0,1987
23,-9.0,1988
23,-4.0,1989
23,10.0,1990
23,3.0,1991
23,8.0,1992
23,-6.0,1993
23,-2.0,1994
23,-8.0,1995
23,-14.0,1996
23,-21.0,1997
23,-8.0,1998
23,-6.0,1999
23,-4.0,2000
23,20.0,2001
23,32.0,2002
23,25.0,2003
23,26.0,2004
23,23.0,2005
23,20.0,2006
23,28.0,2007
23,34.0,2008
23,27.0,2009
23,22.0,2010
23,26.0,2011
23,18.0,2012
23,9.0,2013
23,14.0,2014
23,27.0,2015
24,0.0,1985
24,-18.0,1986
24,-29.0,1987
24,-32.0,1988
24,-23.0,1989
24,-7.0,1990
24,-8.0,1991
24,-1.0,1992
24,-13.0,1993
24,-10.0,1994
24,-14.0,1995
24,-23.0,1996
24,-26.0,1997
24,-11.0,1998
24,-4.0,1999
24,-2.0,2000
24,31.0,2001
24,44.0,2002
24,35.0,2003
24,33.0,2004
24,26.0,2005
24,17.0,2006
24,26.0,2007
24,32.0,2008
24,25.0,2009
24,22.0,2010
24,31.0,2011
24,21.0,2012
24,14.0,2013
24,23.0,2014
24,45.0,2015
25,0.0,1985
25,-13.0,1986
25,-25.0,1987
25,-27.0,1988
25,-23.0,1989
25,-6.0,1990
25,-17.0,1991
25,-13.0,1992
25,-31.0,1993
25,-27.0,1994
25,-36.0,1995
25,-46.0,1996
25,-49.0,1997
25,-32.0,1998
25,-26.0,1999
25,-22.0,2000
25,10.0,2001
25,23.0,2002
25,13.0,2003
25,14.0,2004
25,10.0,2005
25,10.0,2006
25,23.0,2007
25,35.0,2008
25,27.0,2009
25,22.0,2010
25,28.0,2011
25,20.0,2012
25,8.0,2013
25,17.0,2014
25,39.0,2015
32,0.0,1985
32,-8.0,1986
32,-11.0,1987
32,-10.0,1988
32,-4.0,1989
32,9.0,1990
32,4.0,1991
32,8.0,1992
32,-2.0,1993
32,1.0,1994
32,-1.0,1995
32,-5.0,1996
32,-6.0,1997
32,9.0,1998
32,15.0,1999
32,20.0,2000
32,46.0,2001
32,60.0,2002
32,55.0,2003
32,55.0,2004
32,53.0,2005
32,49.0,2006
32,57.0,2007
32,62.0,2008
32,54.0,2009
32,48.0,2010
32,47.0,2011
32,36.0,2012
32,25.0,2013
32,33.0,2014
32,45.0,2015
33,0.0,1985
33,-14.0,1986
33,-40.0,1987
33,-39.0,1988
33,-7.0,1989
33,28.0,1990
33,25.0,1991
33,34.0,1992
33,8.0,1993
33,-18.0,1994
33,-52.0,1995
33,-74.0,1996
33,-83.0,1997
33,-70.0,1998
33,-63.0,1999
33,-55.0,2000
33,-35.0,2001
33,-35.0,2002
33,-48.0,2003
33,-52.0,2004
33,-62.0,2005
33,-59.0,2006
33,-49.0,2007
33,-38.0,2008
33,-47.0,2009
33,-70.0,2010
33,-60.0,2011
33,-69.0,2012
33,-88.0,2013
33,-90.0,2014
33,-61.0,2015
41,0.0,1985
41,-2.0,1986
41,7.0,1987
41,39.0,1988
41,70.0,1989
41,88.0,1990
41,103.0,1991
41,97.0,1992
41,97.0,1993
41,120.0,1994
41,147.0,1995
41,157.0,1996
41,193.0,1997
41,219.0,1998
41,241.0,1999
41,252.0,2000
41,259.0,2001
41,259.0,2002
41,254.0,2003
41,246.0,2004
41,255.0,2005
41,267.0,2006
41,246.0,2007
41,229.0,2008
41,218.0,2009
41,236.0,2010
41,245.0,2011
41,255.0,2012
41,288.0,2013
41,303.0,2014
41,286.0,2015
45,0.0,1985
45,6.0,1986
45,-13.0,1987
45,1.0,1988
45,31.0,1989
45,45.0,1990
45,35.0,1991
45,42.0,1992
45,-1.0,1993
45,-34.0,1994
45,-47.0,1995
45,-61.0,1996
45,-69.0,1997
45,-63.0,1998
45,-56.0,1999
45,-62.0,2000
45,-52.0,2001
45,-49.0,2002
45,-49.0,2003
45,-51.0,2004
45,-43.0,2005
45,-37.0,2006
45,-30.0,2007
45,-29.0,2008
45,-34.0,2009
45,-58.0,2010
45,-52.0,2011
45,-64.0,2012
45,-67.0,2013
45,-70.0,2014
45,-38.0,2015
47,0.0,1985
47,2.0,1986
47,-5.0,1987
47,-2.0,1988
47,12.0,1989
47,24.0,1990
47,16.0,1991
47,17.0,1992
47,4.0,1993
47,-4.0,1994
47,-18.0,1995
47,-26.0,1996
47,-27.0,1997
47,-15.0,1998
47,-8.0,1999
47,3.0,2000
47,17.0,2001
47,28.0,2002
47,26.0,2003
47,25.0,2004
47,19.0,2005
47,24.0,2006
